128 7272
0 1 3
0 2 6
0 3 7
0 4 5
0 5 3
0 6 5
0 7 6
0 8 2
0 9 9
0 10 1
0 11 2
0 12 7
0 14 9
0 15 3
0 16 6
0 18 6
0 19 2
0 20 6
0 21 1
0 22 8
0 23 7
0 24 9
0 25 2
0 27 2
0 28 3
0 29 7
0 30 5
0 31 9
0 32 2
0 33 2
0 34 8
0 35 9
0 36 7
0 37 3
0 38 6
0 39 1
0 40 2
0 41 9
0 42 3
0 43 1
0 44 9
0 45 4
0 46 7
0 47 8
0 48 4
0 49 5
0 51 3
0 52 6
0 53 1
0 55 6
0 56 3
0 57 2
0 59 6
0 60 1
0 61 5
0 62 5
0 63 4
0 64 7
0 65 6
0 66 5
0 67 6
0 68 9
0 69 3
0 70 7
0 71 4
0 72 5
0 73 2
0 74 5
0 75 4
0 76 7
0 77 4
0 78 4
0 79 3
0 81 7
0 82 8
0 83 6
0 84 8
0 85 8
0 86 4
0 87 3
0 88 1
0 89 4
0 90 9
0 91 2
0 93 6
0 94 8
0 95 9
0 96 2
0 97 6
0 98 6
0 99 4
0 100 9
0 101 5
0 103 4
0 104 8
0 105 7
0 106 1
0 107 7
0 108 2
0 109 7
0 110 2
0 111 2
0 112 6
0 113 1
0 115 6
0 116 1
0 117 5
0 118 9
0 119 4
0 120 9
0 122 9
0 123 1
0 124 7
0 125 7
0 126 1
0 127 1
1 2 5
1 3 9
1 4 7
1 5 7
1 6 6
1 7 7
1 8 3
1 9 6
1 10 5
1 11 6
1 12 3
1 13 9
1 14 4
1 15 8
1 16 1
1 17 2
1 18 9
1 19 3
1 20 9
1 22 8
1 23 8
1 24 5
1 26 9
1 27 6
1 28 3
1 29 8
1 30 5
1 31 6
1 32 1
1 33 1
1 34 5
1 35 9
1 36 8
1 37 4
1 38 8
1 39 1
1 41 3
1 43 4
1 44 4
1 45 4
1 46 4
1 47 7
1 48 6
1 49 3
1 50 1
1 51 7
1 52 5
1 53 9
1 54 6
1 55 2
1 56 1
1 57 7
1 58 8
1 59 5
1 60 7
1 61 4
1 62 1
1 63 8
1 64 5
1 65 9
1 66 7
1 67 5
1 68 3
1 69 8
1 70 8
1 71 3
1 72 1
1 73 8
1 74 9
1 75 6
1 76 4
1 77 3
1 78 3
1 79 3
1 80 8
1 81 6
1 83 4
1 84 8
1 85 8
1 86 8
1 87 9
1 88 7
1 89 7
1 90 6
1 91 4
1 92 3
1 94 3
1 96 9
1 97 2
1 98 5
1 99 4
1 101 5
1 102 9
1 103 4
1 104 6
1 105 9
1 106 2
1 107 2
1 108 4
1 109 7
1 110 7
1 111 5
1 112 4
1 113 8
1 114 1
1 115 2
1 116 8
1 117 9
1 118 3
1 119 6
1 120 8
1 122 2
1 123 1
1 125 5
1 126 1
1 127 1
2 4 8
2 5 5
2 7 6
2 8 4
2 9 6
2 10 2
